monthYear,CA,Alameda,Amador,Butte,Calaveras,Contra-Costa,Del Norte,El Dorado,Fresno,Glenn,Humboldt,Kern,Kings,Lake,Lassen,Los Angeles,Madera,Marin,Mariposa,Mendocino,Merced,Mono,Monterey,Napa,Nevada,Orange,Placer,Plumas,Riverside,Sacramento,San Benito,San Bernardino,San Diego,San Francisco,San Joaquin,San Luis Obispo,San Mateo,Santa Barbara,Santa Clara,Santa Cruz,Shasta,Siskiyou,Solano,Sonoma,Stanislaus,Sutter,Tehama,Tulare,Tuolumne,Ventura,Yolo,Yuba,Condo,LA Metro,Central Coast,Central Valley,Far North,Inland Empire,S.F. Bay Area,SoCal
2020-01-01,"$575,160 ","$875,000 ","$335,000 ","$355,860 ","$343,500 ","$614,000 ","$227,000 ","$442,120 ","$289,950 ","$315,000 ","$308,000 ","$252,000 ","$247,450 ","$253,000 ","$239,000 ","$617,520 ","$334,790 ","$1,294,000 ","$266,000 ","$412,000 ","$282,950 ","$780,000 ","$649,500 ","$697,500 ","$367,000 ","$855,000 ","$493,000 ","$330,000 ","$415,460 ","$379,000 ","$575,020 ","$325,000 ","$660,000 ","$1,460,000 ","$385,000 ","$652,500 ","$1,422,250 ","$675,000 ","$1,200,000 ","$869,500 ","$282,500 ","$255,000 ","$449,900 ","$667,000 ","$330,000 ","$327,250 ","$260,000 ","$240,000 ","$309,000 ","$660,000 ","$431,240 ","$315,000 ","$467,000 ","$538,500 ","$700,000 ","$337,500 ","$303,200 ","$385,000 ","$853,000 ","$565,000 "
2020-02-01,"$579,770 ","$945,000 ","$328,000 ","$338,750 ","$355,000 ","$635,250 ","$297,000 ","$465,000 ","$289,950 ","$288,250 ","$310,390 ","$259,000 ","$255,000 ","$235,000 ","$199,000 ","$580,690 ","$285,000 ","$1,347,500 ","$327,500 ","$467,000 ","$285,950 ","$700,000 ","$700,000 ","$659,500 ","$420,000 ","$880,000 ","$509,000 ","$321,500 ","$428,000 ","$398,500 ","$595,000 ","$329,000 ","$670,000 ","$1,610,000 ","$390,000 ","$640,000 ","$1,575,000 ","$772,750 ","$1,350,000 ","$897,500 ","$291,500 ","$219,000 ","$470,000 ","$640,000 ","$339,000 ","$318,500 ","$265,000 ","$252,000 ","$297,500 ","$649,500 ","$447,500 ","$315,000 ","$480,000 ","$550,000 ","$715,000 ","$340,000 ","$300,000 ","$395,000 ","$910,000 ","$580,000 "
2020-03-01,"$612,440 ","$970,500 ","$335,000 ","$365,000 ","$352,000 ","$711,000 ","$233,500 ","$507,500 ","$282,500 ","$288,500 ","$330,000 ","$259,480 ","$250,000 ","$275,500 ","$230,000 ","$567,910 ","$285,000 ","$1,376,000 ","$335,000 ","$382,810 ","$280,000 ","$665,000 ","$680,000 ","$764,000 ","$425,000 ","$882,000 ","$500,000 ","$287,500 ","$435,000 ","$400,000 ","$605,000 ","$316,000 ","$675,000 ","$1,655,000 ","$395,000 ","$619,000 ","$1,750,000 ","$645,000 ","$1,400,000 ","$925,000 ","$310,000 ","$244,000 ","$457,950 ","$694,000 ","$340,000 ","$318,050 ","$280,000 ","$254,480 ","$300,000 ","$705,000 ","$463,500 ","$309,440 ","$495,000 ","$556,250 ","$690,000 ","$350,000 ","$311,250 ","$399,000 ","$1,009,790 ","$585,000 "
2020-04-01,"$606,410 ","$1,030,000 ","$350,000 ","$377,500 ","$332,250 ","$710,000 ","$240,000 ","$500,000 ","$290,000 ","$282,000 ","$317,000 ","$272,000 ","$260,900 ","$272,000 ","$167,000 ","$565,170 ","$306,500 ","$1,365,000 ","$330,000 ","$395,000 ","$273,900 ","$801,250 ","$660,000 ","$750,000 ","$460,000 ","$861,000 ","$510,000 ","$252,500 ","$435,000 ","$400,000 ","$614,950 ","$325,000 ","$671,000 ","$1,699,500 ","$395,000 ","$600,000 ","$1,640,000 ","$600,000 ","$1,388,890 ","$949,500 ","$288,500 ","$260,250 ","$482,500 ","$657,880 ","$350,000 ","$300,000 ","$217,500 ","$252,750 ","$299,000 ","$675,000 ","$460,820 ","$328,900 ","$488,000 ","$550,000 ","$657,500 ","$346,500 ","$299,000 ","$390,000 ","$980,000 ","$583,000 "
2020-05-01,"$588,070 ","$955,000 ","$321,000 ","$362,000 ","$330,000 ","$690,000 ","$338,450 ","$535,000 ","$295,000 ","$323,250 ","$340,750 ","$270,000 ","$249,950 ","$300,000 ","$195,000 ","$553,710 ","$297,500 ","$1,500,000 ","$280,000 ","$426,000 ","$285,000 ","$520,150 ","$650,000 ","$672,500 ","$410,000 ","$834,550 ","$515,000 ","$269,000 ","$434,480 ","$395,000 ","$660,500 ","$320,000 ","$655,000 ","$1,627,500 ","$415,000 ","$632,500 ","$1,650,000 ","$637,500 ","$1,365,000 ","$850,000 ","$297,000 ","$230,000 ","$482,000 ","$675,000 ","$350,000 ","$342,550 ","$290,000 ","$255,250 ","$319,000 ","$681,250 ","$443,000 ","$320,000 ","$464,900 ","$535,000 ","$678,500 ","$350,000 ","$299,000 ","$395,740 ","$965,000 ","$565,000 "
2020-06-01,"$626,170 ","$976,000 ","$337,500 ","$390,000 ","$363,000 ","$750,500 ","$242,000 ","$510,000 ","$313,950 ","$295,000 ","$317,000 ","$275,000 ","$265,000 ","$322,500 ","$225,000 ","$619,320 ","$300,000 ","$1,490,000 ","$370,400 ","$425,000 ","$300,000 ","$720,000 ","$740,000 ","$725,000 ","$433,750 ","$870,000 ","$515,000 ","$305,000 ","$450,000 ","$417,000 ","$586,400 ","$325,000 ","$678,000 ","$1,805,000 ","$415,000 ","$645,500 ","$1,735,000 ","$671,750 ","$1,382,000 ","$905,000 ","$295,000 ","$213,500 ","$496,750 ","$708,800 ","$355,000 ","$341,000 ","$240,000 ","$270,000 ","$305,000 ","$700,000 ","$475,000 ","$328,950 ","$486,250 ","$553,000 ","$736,500 ","$365,000 ","$311,500 ","$410,000 ","$1,000,000 ","$588,000 "
2020-07-01,"$666,320 ","$1,027,500 ","$355,000 ","$395,000 ","$349,900 ","$785,000 ","$332,000 ","$550,000 ","$320,000 ","$257,500 ","$349,000 ","$282,980 ","$275,000 ","$307,000 ","$205,000 ","$660,340 ","$313,850 ","$1,545,500 ","$425,000 ","$485,000 ","$319,900 ","$669,500 ","$749,500 ","$782,500 ","$500,000 ","$880,000 ","$550,000 ","$350,000 ","$462,000 ","$422,740 ","$675,000 ","$350,000 ","$719,000 ","$1,665,000 ","$410,000 ","$659,000 ","$1,719,440 ","$900,000 ","$1,380,000 ","$985,000 ","$300,000 ","$253,000 ","$499,750 ","$714,950 ","$360,000 ","$350,000 ","$264,000 ","$268,000 ","$325,000 ","$720,000 ","$505,000 ","$343,750 ","$500,000 ","$590,000 ","$785,000 ","$377,720 ","$318,250 ","$420,000 ","$1,050,000 ","$622,500 "
2020-08-01,"$706,900 ","$1,028,220 ","$353,500 ","$415,000 ","$381,000 ","$805,000 ","$283,500 ","$570,000 ","$322,000 ","$263,500 ","$340,000 ","$285,840 ","$265,500 ","$309,500 ","$249,000 ","$692,630 ","$329,000 ","$1,512,500 ","$380,750 ","$524,000 ","$335,000 ","$665,000 ","$832,500 ","$867,000 ","$475,000 ","$930,000 ","$538,750 ","$392,000 ","$486,500 ","$425,000 ","$625,000 ","$350,000 ","$732,560 ","$1,663,000 ","$425,000 ","$666,840 ","$1,812,500 ","$1,020,000 ","$1,400,000 ","$1,050,000 ","$315,000 ","$260,000 ","$515,000 ","$715,000 ","$370,000 ","$335,000 ","$290,000 ","$280,220 ","$318,000 ","$741,500 ","$525,500 ","$332,400 ","$506,000 ","$615,000 ","$812,500 ","$385,000 ","$325,000 ","$435,000 ","$1,068,000 ","$640,000 "
2020-09-01,"$712,430 ","$1,050,000 ","$359,900 ","$403,300 ","$392,000 ","$783,000 ","$308,000 ","$588,000 ","$325,000 ","$347,520 ","$345,000 ","$292,000 ","$264,000 ","$307,500 ","$272,500 ","$766,010 ","$331,120 ","$1,550,000 ","$457,500 ","$500,250 ","$300,500 ","$875,000 ","$860,000 ","$900,000 ","$478,750 ","$915,000 ","$530,000 ","$412,000 ","$480,000 ","$439,000 ","$687,000 ","$359,900 ","$735,000 ","$1,665,000 ","$435,000 ","$684,500 ","$1,772,500 ","$1,000,000 ","$1,402,500 ","$1,062,500 ","$331,500 ","$267,950 ","$499,950 ","$715,000 ","$375,000 ","$351,000 ","$285,000 ","$275,000 ","$325,000 ","$787,500 ","$530,000 ","$342,000 ","$527,000 ","$630,000 ","$838,500 ","$390,000 ","$349,900 ","$445,000 ","$1,060,000 ","$656,750 "
2020-10-01,"$711,300 ","$1,049,000 ","$366,500 ","$401,500 ","$393,640 ","$787,250 ","$325,000 ","$559,000 ","$331,500 ","$287,500 ","$379,500 ","$295,000 ","$290,500 ","$325,000 ","$194,500 ","$745,080 ","$302,750 ","$1,468,500 ","$375,000 ","$529,500 ","$322,500 ","$844,500 ","$850,000 ","$749,380 ","$492,500 ","$930,000 ","$548,000 ","$385,000 ","$485,000 ","$440,000 ","$634,000 ","$365,000 ","$749,000 ","$1,625,000 ","$431,440 ","$700,500 ","$1,680,000 ","$1,037,500 ","$1,442,500 ","$1,060,000 ","$344,900 ","$286,000 ","$508,000 ","$720,000 ","$377,000 ","$346,050 ","$283,500 ","$283,000 ","$349,500 ","$750,000 ","$517,250 ","$350,000 ","$520,000 ","$632,710 ","$850,000 ","$395,000 ","$344,000 ","$445,000 ","$1,100,000 ","$657,750 "
2020-11-01,"$698,980 ","$1,049,040 ","$360,000 ","$405,000 ","$407,120 ","$810,000 ","$308,750 ","$585,000 ","$323,500 ","$334,750 ","$351,000 ","$290,000 ","$265,000 ","$317,000 ","$231,250 ","$673,310 ","$320,000 ","$1,425,000 ","$374,000 ","$494,000 ","$315,500 ","$806,000 ","$850,000 ","$824,500 ","$466,250 ","$930,000 ","$552,650 ","$385,000 ","$490,000 ","$442,500 ","$665,590 ","$380,250 ","$740,000 ","$1,697,500 ","$441,500 ","$699,500 ","$1,650,000 ","$955,000 ","$1,383,000 ","$1,050,000 ","$327,250 ","$263,000 ","$505,250 ","$715,000 ","$389,000 ","$370,000 ","$371,000 ","$280,000 ","$337,500 ","$760,000 ","$511,000 ","$352,500 ","$520,000 ","$630,000 ","$825,000 ","$400,000 ","$340,000 ","$450,000 ","$1,100,000 ","$657,820 "
